mes,anio,ipc
Julio,2022,120.27
Agosto,2022,121.5
Septiembre,2022,122.63
Octubre,2022,123.51
Noviembre,2022,124.46
Diciembre,2022,126.03
Enero,2023,128.27
Febrero,2023,130.4
Marzo,2023,131.77
Abril,2023,132.8
Mayo,2023,133.38
Junio,2023,133.78
Julio,2023,134.45
Agosto,2023,135.39
Septiembre,2023,136.11
Octubre,2023,136.45
Noviembre,2023,137.09
Diciembre,2023,137.72
Enero,2024,138.98
Febrero,2024,140.49
Marzo,2024,141.48
Abril,2024,142.32
Mayo,2024,142.92
Junio,2024,143.38
Julio,2024,143.67
Agosto,2024,143.67
Septiembre,2024,144.02
Octubre,2024,143.83
Noviembre,2024,144.22
Diciembre,2024,144.88
Enero,2025,146.24
Febrero,2025,147.9
Marzo,2025,148.68
Abril,2025,149.66
Mayo,2025,150.14
Junio,2025,150.3
Julio,2025,150.71
Agosto,2025,150.99
Septiembre,2025,151.48
Octubre,2025,151.76
Noviembre,2025,151.87
Diciembre,2025,152.27
Enero,2026,154.07
Febrero,2026,155.73
Marzo,2026,156.94
Abril,2026,158.17
Mayo,2026,158.91
